tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun,,,
2020-04-22,PRAMUKA/PANGGANG,2,2,7,0,7,,
2020-04-23,PRAMUKA/PANGGANG,1,0,13,0,13,,
2020-04-24,PRAMUKA/PANGGANG,0,0,0,0,0,,
2020-04-25,PRAMUKA/PANGGANG,1,1,7,2,9,,
2020-04-26,PRAMUKA/PANGGANG,1,1,17,0,17,,
2020-04-27,PRAMUKA/PANGGANG,0,0,0,0,0,,
2020-04-28,PRAMUKA/PANGGANG,4,6,18,26,44,,
2020-04-29,PRAMUKA/PANGGANG,1,1,0,0,0,,
2020-04-30,PRAMUKA/PANGGANG,1,0,2,0,2,,
2020-04-01,KELAPA,2,3,2,38,40,,
2020-04-02,KELAPA,4,2,22,2,24,,
2020-04-03,KELAPA,1,2,3,20,23,,
2020-04-04,KELAPA,1,2,0,15,15,,
2020-04-05,KELAPA,1,2,24,7,31,,
2020-04-06,KELAPA,1,2,9,28,37,,
2020-04-07,KELAPA,0,0,0,0,0,,
2020-04-08,KELAPA,2,3,2,12,14,,
2020-04-09,KELAPA,3,3,53,20,73,,
2020-04-10,KELAPA,2,1,0,0,0,,
2020-04-11,KELAPA,1,1,0,0,0,,
2020-04-12,KELAPA,1,2,0,10,10,,
2020-04-13,KELAPA,3,2,32,16,48,,
2020-04-14,KELAPA,2,2,7,13,20,,
2020-04-15,KELAPA,2,2,8,15,23,,
2020-04-16,KELAPA,1,2,0,14,14,,
2020-04-17,KELAPA,3,2,30,0,30,,
2020-04-18,KELAPA,1,3,0,10,10,,
2020-04-19,KELAPA,1,1,23,0,23,,
2020-04-20,KELAPA,3,2,14,22,36,,
2020-04-21,KELAPA,2,2,15,0,15,,
2020-04-22,KELAPA,1,2,0,13,13,,
2020-04-23,KELAPA,2,2,8,0,8,,
2020-04-24,KELAPA,0,2,0,0,0,,
2020-04-25,KELAPA,0,0,0,0,0,,
2020-04-26,KELAPA,2,2,0,0,0,,
2020-04-27,KELAPA,2,3,3,0,3,,
2020-04-28,KELAPA,2,4,7,15,22,,
2020-04-29,KELAPA,2,1,0,0,0,,
2020-04-30,KELAPA,0,1,0,0,0,,
2020-04-01,HARAPAN,1,0,0,0,0,,
2020-04-02,HARAPAN,1,1,7,7,14,,
2020-04-03,HARAPAN,0,0,0,0,0,,
2020-04-04,HARAPAN,0,0,0,0,0,,
2020-04-05,HARAPAN,0,0,0,0,0,,
2020-04-06,HARAPAN,2,1,0,2,2,,
2020-04-07,HARAPAN,1,0,0,0,0,,
2020-04-08,HARAPAN,0,0,0,0,0,,
2020-04-09,HARAPAN,1,2,7,7,14,,
2020-04-10,HARAPAN,0,0,0,0,0,,
2020-04-11,HARAPAN,1,1,1,0,1,,
2020-04-12,HARAPAN,0,0,0,0,0,,
2020-04-13,HARAPAN,1,1,0,0,0,,
2020-04-14,HARAPAN,1,1,0,3,3,,
2020-04-15,HARAPAN,1,1,0,0,0,,
2020-04-16,HARAPAN,1,0,9,0,9,,
2020-04-17,HARAPAN,0,0,0,0,0,,
2020-04-18,HARAPAN,0,0,0,0,0,,
2020-04-19,HARAPAN,0,0,0,0,0,,
2020-04-20,HARAPAN,3,3,5,7,12,,
2020-04-21,HARAPAN,1,2,6,0,6,,
2020-04-22,HARAPAN,2,3,6,9,15,,
2020-04-23,HARAPAN,1,1,0,0,0,,
